overall_rank,variant,model,RMSE_log_mean,RMSE_log_std,RMSE_log_ci_lower,RMSE_log_ci_upper,MAE_log_mean,MAE_log_std,MAE_log_ci_lower,MAE_log_ci_upper,R2_log_mean,R2_log_std,R2_log_ci_lower,R2_log_ci_upper
46,with_outlier_default_linear,DecisionTree,0.7367921741322846,0.030987068792743985,0.7081339153064765,0.7654504329580927,0.5994145634347469,0.03239537704727535,0.5694538367074142,0.6293752901620795,0.6033594655546599,0.10888824021897008,0.5026546395463115,0.7040642915630083
47,without_outlier_adaptive,DecisionTree,0.74058798426001,0.07283179365390113,0.6732298095568224,0.8079461589631977,0.5962973377590325,0.06412407593719388,0.5369924587636953,0.6556022167543697,0.6042673647142252,0.0923061017826625,0.518898458936717,0.6896362704917333
48,without_outlier_linear,DecisionTree,0.7479752873633505,0.04363971573299303,0.7076152818098839,0.7883352929168171,0.6053073862604463,0.04102883272301768,0.5673620447581111,0.6432527277627815,0.5883868816537212,0.1294978145393993,0.46862137846047913,0.7081523848469633
49,with_outlier_default_linear,MLP,0.7841408524450699,0.14487450107677083,0.6501542860845204,0.9181274188056194,0.616018620410367,0.12354722766240325,0.5017564921903119,0.7302807486304221,0.5481970963705826,0.1701511801550431,0.39083350083289337,0.7055606919082718
50,with_outlier_default_adaptive,MLP,0.7879475589150061,0.10412825782703576,0.6916449823839069,0.8842501354461053,0.6256983309366502,0.08432320900678977,0.5477123696021868,0.7036842922711135,0.5506462102533539,0.11949500548156664,0.4401317624884856,0.6611606580182222
51,with_outlier_default_adaptive,KNeighbors,0.7912069220570945,0.09353334373486938,0.7047030067779304,0.8777108373362587,0.6343457291140498,0.0720323504670677,0.567726916043227,0.7009645421848727,0.5357714806633295,0.16135919597202564,0.38653911431658344,0.6850038470100754
52,with_outlier_default_linear,KNeighbors,0.793131935444501,0.09274445974409111,0.7073576161701243,0.8789062547188777,0.6378363346514512,0.07147195472684086,0.5717358011983527,0.7039368681045497,0.5324734559614862,0.16834643531986784,0.3767789710114078,0.6881679409115646
53,without_outlier_adaptive,KNeighbors,0.797675469051283,0.0940247435822127,0.7107170847125792,0.8846338533899867,0.6425678318707391,0.07312474786822977,0.5749387197079778,0.7101969440335003,0.5269892970531235,0.16999563312937868,0.3697695585207835,0.6842090355854634
54,without_outlier_linear,MLP,0.803059192512378,0.14381717048031242,0.6700504938585297,0.9360678911662264,0.635625331314509,0.11556617396391548,0.5287444466745983,0.7425062159544198,0.5284214175467035,0.16841601835977285,0.3726625790180138,0.6841802560753931
55,without_outlier_linear,KNeighbors,0.8051981370438842,0.08718471738411739,0.7245657218528729,0.8858305522348955,0.6493326433141389,0.0677057408560526,0.5867152767466953,0.7119500098815824,0.519430501701311,0.16602812218030882,0.36588009880162353,0.6729809046009985
56,without_outlier_adaptive,MLP,0.8106244145789557,0.08765444445505992,0.7295575743035134,0.891691254854398,0.631199683918963,0.07535735110861336,0.5615057581416518,0.7008936096962741,0.5184576866816717,0.14504427582614932,0.38431410486598777,0.6526012684973557
57,with_outlier_default_linear,Ridge,0.8386540226312122,0.25987919970558837,0.5983058497072029,1.0790021955552216,0.6944748978480616,0.2636412557644993,0.45064740337303427,0.9383023923230889,0.46520730155905404,0.3529001302484594,0.13882911651788227,0.7915854866002259
58,with_outlier_default_adaptive,Ridge,0.8428448356427293,0.27851391148123367,0.5852624287618822,1.1004272425235764,0.6998965161530996,0.28545094878547406,0.43589841981550204,0.9638946124906971,0.4549180938516462,0.38605814763125024,0.09787385741134458,0.8119623302919479
59,without_outlier_adaptive,Ridge,0.84709926913446,0.290172590275665,0.5787343827395772,1.1154641555293427,0.7070519838905351,0.2938243062208486,0.43530982352968417,0.9787941442513861,0.44471691414152287,0.4112866214740038,0.0643402309311975,0.8250935973518483
60,without_outlier_linear,Ridge,0.8570884477063777,0.31718892223597644,0.563737621562852,1.1504392738499034,0.7185405822660667,0.3228959476577138,0.41991163792570424,1.0171695266064291,0.42419946975378525,0.46389426396154754,-0.004831167940180625,0.8532301074477511
