parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,unconstrained,11219,19,0.7894736842105263,True,13.183592068128434,10.27424304685438,13.183592068128434,True,8.27424304685438,True,13.183592068128434,True,24.353309648904453
primary,unconstrained,11220,20,0.75,True,10.398304186118255,8.566723522921167,10.398304186118255,True,6.566723522921167,True,10.398304186118255,True,21.594050474842682
primary,unconstrained,11221,21,0.7142857142857143,True,12.628459666923504,12.500778147378782,12.628459666923504,True,7.500778147378782,True,12.628459666923504,True,23.329424187429133
primary,unconstrained,11222,16,0.55,True,8.029199520339622,7.624857903084999,8.029199520339622,True,7.624857903084999,True,8.029199520339622,True,18.13276740080581
primary,unconstrained,11223,20,0.6666666666666666,True,9.316697064435262,8.337381310721103,9.316697064435262,True,8.337381310721103,True,9.316697064435262,True,20.130809122041953
primary,unconstrained,11224,17,0.6,True,11.38476550255808,11.031038719871294,11.38476550255808,True,6.031038719871295,True,11.38476550255808,True,21.585603611004508
primary,unconstrained,11225,20,0.75,True,12.165968189351188,9.346245183432945,12.165968189351188,True,7.346245183432945,True,12.165968189351188,True,24.281031400650253
primary,unconstrained,11226,19,0.7894736842105263,True,9.18639708799774,8.849591663080954,9.18639708799774,True,6.849591663080954,True,9.18639708799774,True,19.52239368464747
primary,unconstrained,11227,19,0.7894736842105263,True,7.408776020329315,6.999455003732955,7.408776020329315,True,4.999455003732954,True,7.408776020329315,True,17.775168219175576
primary,unconstrained,11228,19,0.7,True,8.63446810905241,7.641215850575389,8.63446810905241,True,7.641215850575389,True,8.63446810905241,True,19.173372570544476
primary,unconstrained,11229,18,0.8333333333333334,True,9.434230104423003,8.646948931303683,9.434230104423003,True,6.646948931303683,True,9.434230104423003,True,21.125323498734254
primary,unconstrained,11230,20,0.75,True,10.933880846480498,9.663831500593867,10.933880846480498,True,7.663831500593867,True,10.933880846480498,True,21.266815885656165
primary,unconstrained,11231,19,0.7894736842105263,True,11.920051041511265,9.118580598495106,11.920051041511265,True,7.118580598495106,True,11.920051041511265,True,22.313309595020907
primary,unconstrained,11232,16,0.7222222222222222,True,6.958531255912215,6.753225439186863,6.958531255912215,False,7.733709209203032,True,6.958531255912215,True,18.653071687621306
primary,unconstrained,11233,17,0.6842105263157895,True,6.54802315008388,6.37235737747452,6.54802315008388,False,6.690151233402084,True,6.54802315008388,True,17.867189484456844
primary,unconstrained,11234,17,0.6842105263157895,True,6.984524579759636,6.69685163607406,6.984524579759636,False,7.6582893562630385,True,6.984524579759636,True,19.038995295641826
primary,unconstrained,11235,22,0.6818181818181818,True,12.979142133968637,10.248266206728555,12.979142133968637,True,8.248266206728555,True,12.979142133968637,True,24.517964203462157
primary,unconstrained,11236,19,0.7,True,8.362264543723926,8.092627119530976,8.362264543723926,True,6.871937290824997,True,8.362264543723926,True,20.184050458568905
primary,unconstrained,11237,19,0.7,True,7.577094081686497,6.499401814908655,7.577094081686497,True,6.499401814908655,True,7.577094081686497,True,18.69140771546708
