subset_id,subset_label,config_slug,config_label,dropped,outer_fold,outer_fold_index,cost,n_train,n_test,seed,RMSE,MAE,MedAE,R2,RMSLE,RMSE_log,MAE_log,R2_log
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",D,3,7,1853,431,20290851,181.1767697740592,46.95237322789191,2.418224909572558,0.0056674608637796,0.940711597742426,0.940711597742426,0.756967224765633,0.4877396286839682
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",E,4,7,2081,203,20300851,374.4959277225387,160.1866889070972,29.693905589919744,-0.0800116038514211,0.9229147426986252,0.9229147426986252,0.7550153575374388,0.117691207427433
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",F,5,7,1896,388,20310851,247.19746980570352,81.79174882920121,3.471617112958582,-0.0135377912987477,0.7556983923781829,0.7556983923781829,0.6174357522553864,0.5819972512612552
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",G,6,7,2244,40,20320851,108.96853706034032,35.697103149379394,7.218826901540307,0.0032134032160661,0.8872310179625598,0.8872310179625598,0.7625588168518453,0.4088197374768751
4096,cpor_sm_only_baseline,no_source,-Source,Source,A,0,10,1928,356,20264307,128.88239540002792,51.13514241726253,4.019753315429055,0.3767378877660199,0.6568965404193785,0.6568965404193785,0.5507224174066786,0.720598479192559
4096,cpor_sm_only_baseline,no_source,-Source,Source,B,1,10,1807,477,20274307,115.35747425010726,36.303395140618896,2.3187711549260914,0.00751589378773,0.6718858813690712,0.6718858813690712,0.528184191903497,0.7234031832187812
4096,cpor_sm_only_baseline,no_source,-Source,Source,C,2,10,1895,389,20284307,232.99531697017397,60.83262972331115,4.344578653472984,0.0090191609229401,0.6611100842395026,0.6611100842395026,0.5171269152664959,0.6894747294276413
4096,cpor_sm_only_baseline,no_source,-Source,Source,D,3,10,1853,431,20294307,165.18097909685997,42.49090892348434,2.1378344939170346,0.1734926895921936,0.7450634080164447,0.7450634080164447,0.6069478606038315,0.6786604120287776
4096,cpor_sm_only_baseline,no_source,-Source,Source,E,4,10,2081,203,20304307,372.2346733605481,153.18064038938334,18.157527965068205,-0.067008483286775,0.7178968608397969,0.7178968608397969,0.5947360532226601,0.4661471706454625
4096,cpor_sm_only_baseline,no_source,-Source,Source,F,5,10,1896,388,20314307,226.59323343786,77.04617998410146,2.324696385851264,0.1483801458851612,0.6935082247642165,0.6935082247642165,0.5445237537798094,0.6479653817761615
4096,cpor_sm_only_baseline,no_source,-Source,Source,G,6,10,2244,40,20324307,106.30785448195256,29.462875533671628,1.6303167934759435,0.0512961666871747,0.7722113556819988,0.7722113556819988,0.6032686071793002,0.5521641458903672
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,A,0,10,1928,356,20264307,136.43402103894127,49.309449253833016,3.292824288587451,0.3015603489225283,0.6757547347211442,0.6757547347211442,0.5675593607332126,0.7043260855483868
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,B,1,10,1807,477,20274307,118.61738669355717,37.8855821498099,2.404767092365982,-0.0493703446044841,0.7108836812913956,0.7108836812913956,0.5561135800879581,0.6903627247056496
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,C,2,10,1895,389,20284307,238.47008825320648,64.48252118399706,6.500180479475881,-0.038098821371008,0.7013509819483447,0.7013509819483447,0.5576097118294758,0.6505217082778243
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,D,3,10,1853,431,20294307,180.0568330756758,46.541207004105125,3.1756389707216948,0.0179223178045564,0.7913541328080618,0.7913541328080618,0.6577211191636566,0.6374903993474506
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,E,4,10,2081,203,20304307,368.47915471285256,153.9260942889934,17.582154685319523,-0.0455867504950495,0.7451010123856318,0.7451010123856318,0.6344633599979016,0.42492068447189
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,F,5,10,1896,388,20314307,249.8178846982493,82.70803985544823,3.50829580991502,-0.0351396822314098,0.7549249517039301,0.7549249517039301,0.6083694106182121,0.5828524466294013
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,G,6,10,2244,40,20324307,110.00222072347349,31.439817005568568,1.6199251996105657,-0.0157874771134389,0.7925068222399524,0.7925068222399524,0.6241428557209524,0.5283145150910729
4096,cpor_sm_only_baseline,no_depth,-DEPTH,DEPTH,A,0,10,1928,356,20264307,126.61242102517124,48.33141486917525,4.195110529845096,0.3984992749787869,0.6617953480108144,0.6617953480108144,0.5549920607121335,0.7164156653813878
4096,cpor_sm_only_baseline,no_depth,-DEPTH,DEPTH,B,1,10,1807,477,20274307,116.34413011922642,36.94214004423584,1.9742259026319224,-0.0095342021891249,0.6877133402313206,0.6877133402313206,0.5533907678541895,0.71021824047905
4096,cpor_sm_only_baseline,no_depth,-DEPTH,DEPTH,C,2,10,1895,389,20284307,235.9930939296571,62.3907796536257,4.331614738892259,-0.0166453091651939,0.7124066238969289,0.7124066238969289,0.5552378870452873,0.6394169705738667
4096,cpor_sm_only_baseline,no_depth,-DEPTH,DEPTH,D,3,10,1853,431,20294307,173.7594428899334,43.37404152618381,1.5807659377629175,0.085416297614677,0.7496486840996063,0.7496486840996063,0.5816597095271627,0.674693059419947
4096,cpor_sm_only_baseline,no_depth,-DEPTH,DEPTH,E,4,10,2081,203,20304307,368.7975877747146,155.52323827675212,20.19305460567621,-0.047394685899706,0.8077369226982919,0.8077369226982919,0.6969805200715469,0.3241702411293227
